id;stimu;exploitability
1-lucien;779;no
1-lucien;896;complex
1-lucien;663;no
1-lucien;795;no
1-lucien;811;parfait
1-lucien;254;complex
1-lucien;963;no
1-lucien;112;yes
1-lucien;967;yes
1-lucien;546;complex
1-lucien;712;no
1-lucien;823;no
1-lucien;814;maybe
1-lucien;475;maybe
1-lucien;761;complex
1-lucien;452;complex
2-romane;963;maybe
2-romane;967;yes
2-romane;112;no
2-romane;811;yes
2-romane;823;yes
2-romane;761;no
2-romane;795;complex
2-romane;254;yes
2-romane;663;maybe
2-romane;475;yes
2-romane;452;yes
2-romane;814;no
2-romane;779;maybe
2-romane;712;no
2-romane;546;yes
2-romane;896;maybe
3-hector;967;no
3-hector;896;no
3-hector;761;no
3-hector;452;no
3-hector;254;maybe
3-hector;823;complex
3-hector;712;no
3-hector;112;complex
3-hector;795;no
3-hector;811;yes
3-hector;814;no
3-hector;963;complex
3-hector;779;no
3-hector;546;maybe
3-hector;475;no
3-hector;663;no
4-thomas;452;maybe
4-thomas;761;maybe
4-thomas;546;complex
4-thomas;896;complex
4-thomas;254;maybe
4-thomas;779;maybe
4-thomas;963;no
4-thomas;811;parfait
4-thomas;475;parfait
4-thomas;814;no
4-thomas;823;maybe
4-thomas;112;no
4-thomas;663;yes
4-thomas;712;yes
4-thomas;795;maybe
4-thomas;967;no
5-juliette;254;complex
5-juliette;779;yes
5-juliette;811;maybe
5-juliette;963;parfait
5-juliette;452;yes
5-juliette;814;yes
5-juliette;475;yes
5-juliette;112;yes
5-juliette;896;yes
5-juliette;663;no
5-juliette;823;yes
5-juliette;712;no
5-juliette;967;yes
5-juliette;546;parfait
5-juliette;761;complex
5-juliette;795;yes
6-zoe;712;yes
6-zoe;452;yes
6-zoe;896;yes
6-zoe;963;complex
6-zoe;811;parfait
6-zoe;761;no
6-zoe;779;parfait
6-zoe;823;complex
6-zoe;967;parfait
6-zoe;795;maybe
6-zoe;546;parfait
6-zoe;112;parfait
6-zoe;254;no
6-zoe;475;maybe
6-zoe;663;no
6-zoe;814;no
7-baptiste;795;no
7-baptiste;546;no
7-baptiste;452;maybe
7-baptiste;896;no
7-baptiste;811;no
7-baptiste;963;no
7-baptiste;967;maybe
7-baptiste;254;maybe
7-baptiste;663;no
7-baptiste;761;complex
7-baptiste;475;yes
7-baptiste;814;no
7-baptiste;779;maybe
7-baptiste;823;yes
7-baptiste;712;no
7-baptiste;112;yes
8-oceane;963;parfait
8-oceane;823;yes
8-oceane;811;yes
8-oceane;779;maybe
8-oceane;712;yes
8-oceane;795;no
8-oceane;452;yes
8-oceane;112;yes
8-oceane;896;maybe
8-oceane;663;complex
8-oceane;546;maybe
8-oceane;967;maybe
8-oceane;761;yes
8-oceane;254;complex
8-oceane;814;no
8-oceane;475;maybe
9-juliette;779;no
9-juliette;811;complex
9-juliette;963;no
9-juliette;761;maybe
9-juliette;823;maybe
9-juliette;896;maybe
9-juliette;452;maybe
9-juliette;663;no
9-juliette;475;yes
9-juliette;546;yes
9-juliette;967;yes
9-juliette;795;maybe
9-juliette;814;yes
9-juliette;712;maybe
9-juliette;112;maybe
9-juliette;254;yes
10-isaure;896;no
10-isaure;452;yes
10-isaure;963;complex
10-isaure;779;parfait
10-isaure;811;complex
10-isaure;761;complex
10-isaure;112;no
10-isaure;475;yes
10-isaure;967;parfait
10-isaure;663;maybe
10-isaure;823;complex
10-isaure;254;complex
10-isaure;712;no
10-isaure;814;maybe
10-isaure;795;parfait
10-isaure;546;yes
11-justine;112;no
11-justine;254;parfait
11-justine;896;yes
11-justine;814;maybe
11-justine;712;yes
11-justine;663;no
11-justine;761;parfait
11-justine;967;maybe
11-justine;823;no
11-justine;811;no
11-justine;779;maybe
11-justine;795;yes
11-justine;452;yes
11-justine;475;maybe
11-justine;963;no
11-justine;546;no
12-annevictoire;761;no
12-annevictoire;811;parfait
12-annevictoire;795;parfait
12-annevictoire;779;parfait
12-annevictoire;254;parfait
12-annevictoire;712;parfait
12-annevictoire;452;parfait
12-annevictoire;112;parfait
12-annevictoire;963;parfait
12-annevictoire;896;parfait
12-annevictoire;663;parfait
12-annevictoire;475;parfait
12-annevictoire;814;parfait
12-annevictoire;546;yes
12-annevictoire;967;parfait
12-annevictoire;823;parfait
13-oriane;475;no
13-oriane;254;complex
13-oriane;814;no
13-oriane;761;complex
13-oriane;112;yes
13-oriane;967;maybe
13-oriane;795;complex
13-oriane;811;no
13-oriane;712;complex
13-oriane;546;no
13-oriane;963;no
13-oriane;663;no
13-oriane;896;complex
13-oriane;452;maybe
13-oriane;823;no
13-oriane;779;no
14-maxime;475;complex
14-maxime;814;yes
14-maxime;452;yes
14-maxime;546;parfait
14-maxime;967;parfait
14-maxime;761;parfait
14-maxime;811;yes
14-maxime;663;parfait
14-maxime;795;parfait
14-maxime;896;no
14-maxime;712;parfait
14-maxime;823;yes
14-maxime;963;maybe
14-maxime;254;parfait
14-maxime;779;yes
14-maxime;112;parfait
15-pauline;811;no
15-pauline;795;complex
15-pauline;546;complex
15-pauline;761;complex
15-pauline;823;no
15-pauline;814;no
15-pauline;663;yes
15-pauline;112;complex
15-pauline;452;yes
15-pauline;896;no
15-pauline;712;complex
15-pauline;779;complex
15-pauline;963;no
15-pauline;967;maybe
15-pauline;254;complex
15-pauline;475;complex
16-nelly;963;parfait
16-nelly;823;no
16-nelly;896;yes
16-nelly;112;yes
16-nelly;254;yes
16-nelly;452;no
16-nelly;795;maybe
16-nelly;712;no
16-nelly;475;no
16-nelly;779;yes
16-nelly;814;yes
16-nelly;761;no
16-nelly;967;maybe
16-nelly;663;parfait
16-nelly;546;no
16-nelly;811;complex
17-laura;967;yes
17-laura;963;yes
17-laura;546;yes
17-laura;896;complex
17-laura;795;complex
17-laura;761;complex
17-laura;452;yes
17-laura;823;maybe
17-laura;663;yes
17-laura;712;no
17-laura;112;yes
17-laura;779;yes
17-laura;814;no
17-laura;811;complex
17-laura;475;no
17-laura;254;parfait
18-damien;112;yes
18-damien;795;yes
18-damien;811;parfait
18-damien;546;yes
18-damien;963;no
18-damien;823;yes
18-damien;475;maybe
18-damien;663;yes
18-damien;254;maybe
18-damien;712;maybe
18-damien;761;yes
18-damien;896;no
18-damien;452;yes
18-damien;779;yes
18-damien;967;yes
18-damien;814;maybe
19-emma;761;complex
19-emma;795;no
19-emma;823;yes
19-emma;663;no
19-emma;814;yes
19-emma;254;complex
19-emma;475;complex
19-emma;712;yes
19-emma;811;parfait
19-emma;452;parfait
19-emma;112;yes
19-emma;967;maybe
19-emma;896;maybe
19-emma;963;maybe
19-emma;546;yes
19-emma;779;yes
20-hugo;761;no
20-hugo;475;maybe
20-hugo;814;yes
20-hugo;712;complex
20-hugo;823;complex
20-hugo;795;maybe
20-hugo;779;yes
20-hugo;967;maybe
20-hugo;254;yes
20-hugo;112;yes
20-hugo;546;parfait
20-hugo;963;yes
20-hugo;896;no
20-hugo;811;maybe
20-hugo;663;no
20-hugo;452;maybe
21-caroline;814;complex
21-caroline;779;maybe
21-caroline;811;yes
21-caroline;963;yes
21-caroline;896;maybe
21-caroline;712;complex
21-caroline;475;maybe
21-caroline;112;yes
21-caroline;823;maybe
21-caroline;967;maybe
21-caroline;254;maybe
21-caroline;452;maybe
21-caroline;546;yes
21-caroline;795;yes
21-caroline;761;maybe
21-caroline;663;complex
22-eloise;823;parfait
22-eloise;779;yes
22-eloise;452;no
22-eloise;663;yes
22-eloise;761;yes
22-eloise;112;yes
22-eloise;896;maybe
22-eloise;967;maybe
22-eloise;795;yes
22-eloise;546;yes
22-eloise;814;maybe
22-eloise;712;yes
22-eloise;963;parfait
22-eloise;475;complex
22-eloise;811;yes
22-eloise;254;maybe
23-maxine;795;yes
23-maxine;546;maybe
23-maxine;112;maybe
23-maxine;712;maybe
23-maxine;823;yes
23-maxine;663;complex
23-maxine;475;yes
23-maxine;896;maybe
23-maxine;452;parfait
23-maxine;814;yes
23-maxine;761;complex
23-maxine;963;parfait
23-maxine;967;parfait
23-maxine;779;complex
23-maxine;254;no
23-maxine;811;parfait
24-audrey;254;maybe
24-audrey;967;no
24-audrey;811;parfait
24-audrey;963;parfait
24-audrey;823;maybe
24-audrey;761;parfait
24-audrey;814;complex
24-audrey;112;maybe
24-audrey;452;yes
24-audrey;896;yes
24-audrey;546;parfait
24-audrey;663;complex
24-audrey;779;maybe
24-audrey;712;yes
24-audrey;795;maybe
24-audrey;475;maybe
25-lea;112;complex
25-lea;254;maybe
25-lea;452;no
25-lea;475;maybe
25-lea;546;no
25-lea;663;maybe
25-lea;712;yes
25-lea;761;complex
25-lea;779;maybe
25-lea;795;complex
25-lea;811;maybe
25-lea;814;no
25-lea;823;maybe
25-lea;896;maybe
25-lea;963;no
25-lea;967;no
26-rindra;112;no
26-rindra;254;complex
26-rindra;452;complex
26-rindra;475;maybe
26-rindra;546;maybe
26-rindra;663;maybe
26-rindra;712;yes
26-rindra;761;no
26-rindra;779;yes
26-rindra;795;yes
26-rindra;811;maybe
26-rindra;814;yes
26-rindra;823;yes
26-rindra;896;complex
26-rindra;963;complex
26-rindra;967;yes
27-gregory;112;yes
27-gregory;254;complex
27-gregory;452;maybe
27-gregory;475;complex
27-gregory;546;no
27-gregory;663;complexx
27-gregory;712;no
27-gregory;761;no
27-gregory;779;no
27-gregory;795;no
27-gregory;811;maybe
27-gregory;814;no
27-gregory;823;yes
27-gregory;896;yes
27-gregory;963;no
27-gregory;967;complex
28-chloe;112;no
28-chloe;254;complex
28-chloe;452;complex
28-chloe;475;yes
28-chloe;546;complex
28-chloe;663;yes
28-chloe;712;yes
28-chloe;761;no
28-chloe;779;yes
28-chloe;795;no
28-chloe;811;no
28-chloe;814;no
28-chloe;823;maybe
28-chloe;896;complex
28-chloe;963;complex
28-chloe;967;yes
29-mathilde;112;yes
29-mathilde;254;yes
29-mathilde;452;no
29-mathilde;475;complex
29-mathilde;546;no
29-mathilde;663;no
29-mathilde;712;maybe
29-mathilde;761;maybe
29-mathilde;779;no
29-mathilde;795;complex
29-mathilde;811;no
29-mathilde;814;no
29-mathilde;823;no
29-mathilde;896;yes
29-mathilde;963;no
29-mathilde;967;complex
30-mahaut;112;maybe
30-mahaut;254;no
30-mahaut;452;complex
30-mahaut;475;yes
30-mahaut;546;maybe
30-mahaut;663;no
30-mahaut;712;complex
30-mahaut;761;yes
30-mahaut;779;yes
30-mahaut;795;yes
30-mahaut;811;no
30-mahaut;814;complex
30-mahaut;823;complex
30-mahaut;896;yes
30-mahaut;963;yes
30-mahaut;967;yes
31-melchior;112;no
31-melchior;254;no
31-melchior;452;no
31-melchior;475;no
31-melchior;546;no
31-melchior;663;no
31-melchior;712;no
31-melchior;761;complex
31-melchior;779;complex
31-melchior;795;maybe
31-melchior;811;no
31-melchior;814;complex
31-melchior;823;no
31-melchior;896;no
31-melchior;963;complex
31-melchior;967;maybe
32-clement;112;maybe
32-clement;254;no
32-clement;452;no
32-clement;475;maybe
32-clement;546;complex
32-clement;663;yes
32-clement;712;yes
32-clement;761;maybe
32-clement;779;complex
32-clement;795;maybe
32-clement;811;yes
32-clement;814;complex
32-clement;823;maybe
32-clement;896;complex
32-clement;963;maybe
32-clement;967;maybe
33-remi;112;no
33-remi;254;maybe
33-remi;452;complex
33-remi;475;no
33-remi;546;complex
33-remi;663;no
33-remi;712;no
33-remi;761;maybe
33-remi;779;no
33-remi;795;no
33-remi;811;complex
33-remi;814;maybe
33-remi;823;yes
33-remi;896;no
33-remi;963;maybe
33-remi;967;no
34-lucie;112;maybe
34-lucie;254;no
34-lucie;452;complex
34-lucie;475;parfait
34-lucie;546;complex
34-lucie;663;yes
34-lucie;712;complex
34-lucie;761;yes
34-lucie;779;no
34-lucie;795;maybe
34-lucie;811;parfait
34-lucie;814;yes
34-lucie;823;no
34-lucie;896;maybe
34-lucie;963;yes
34-lucie;967;no
